date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:45	9952/9952	---MCZ	200	added ('OK')	text/html	etag:W/%2273f97f1e86241da709618b9ea75d1ddc%22	https://thechoiceisyours.whatisthematrix.com/	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/thechoiceisyours.whatisthematrix.com/index.html	(from )
01:09:46	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Fri,%2006%20Jan%202023%2017:09:47%20GMT	https://thechoiceisyours.whatisthematrix.com/robots.txt		(from )
01:09:46	18357/18357	---M--	200	added ('OK')	image/jpeg	etag:%2200b2225bd95c19341364ddb1d3646ec0%22	https://thechoiceisyours.whatisthematrix.com/_nuxt/images/meta-sm.jpg?545b93d9b61657b435d6f30c30cc18a1	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/thechoiceisyours.whatisthematrix.com/_nuxt/images/meta-sm9763.jpg	(from https://thechoiceisyours.whatisthematrix.com/)
01:09:46	198/198	---MC-	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2017:09:48%20GMT	https://fonts.googleapis.com/css2?family=Roboto&display=swap	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/fonts.googleapis.com/css2aae9.css	(from https://thechoiceisyours.whatisthematrix.com/)
01:09:46	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Jan%202023%2017:09:48%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/fonts.gstatic.com/index.html	(from https://thechoiceisyours.whatisthematrix.com/)
01:09:46	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Jan%202023%2017:09:48%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/fonts.googleapis.com/index.html	(from https://thechoiceisyours.whatisthematrix.com/)
01:09:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Jan%202023%2017:09:49%20GMT	http://thechoiceisyours.whatisthematrix.com/unsupported-browser.js	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/thechoiceisyours.whatisthematrix.com/unsupported-browser.2.delayed	(from https://thechoiceisyours.whatisthematrix.com/)
01:09:47	1324/1324	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4d1e509f9ffded8c5ee6ec2d0d8d57d%22	https://thechoiceisyours.whatisthematrix.com/unsupported-browser.js	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/thechoiceisyours.whatisthematrix.com/unsupported-browser.js	(from https://thechoiceisyours.whatisthematrix.com/)
01:09:47	21748/21748	---M-Z	200	added ('OK')	application/javascript	etag:0x8DAEEC946D56FCE	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://thechoiceisyours.whatisthematrix.com/)
01:09:48	114330/114330	---MC-	200	added ('OK')	application/javascript	date:Fri,%2006%20Jan%202023%2015:47:37%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-P83WJT9	C:/My%20Web%20Sites/thechoiceisyours.whatisthematrix.com/https___thechoiceisyours.whatisthematrix.com_/www.googletagmanager.com/gtm79a1.js	(from https://thechoiceisyours.whatisthematrix.com/)
